"RMSEs","Nrules"
4.81173162794587,20
4.81173162794587,20
4.81173162794587,20
4.81173162794587,20
4.67830561764335,40
4.67830561764335,40
4.67830561764335,40
4.67830561764335,40
4.62375770934948,60
4.62375770934948,60
4.62375770934948,60
4.62375770934948,60
4.61929314357336,80
4.61929314357336,80
4.61929314357336,80
4.61929314357336,80
4.61290125851067,100
4.61290125851067,100
4.61290125851067,100
4.61290125851067,100
5.0795335494606,5
5.0795335494606,5
5.0795335494606,5
5.0795335494606,5
5.00115152556872,10
5.00115152556872,10
5.00115152556872,10
5.00115152556872,10
5.19682470537593,2
5.19682470537593,2
5.19682470537593,2
5.19682470537593,2
5.18160114441028,4
5.18160114441028,4
5.18160114441028,4
5.18160114441028,4
5.18175383643746,6
5.18175383643746,6
5.18175383643746,6
5.18175383643746,6
5.18045191267907,8
5.18045191267907,8
5.18045191267907,8
5.18045191267907,8
5.1799323128784,10
5.1799323128784,10
5.1799323128784,10
5.1799323128784,10